Signi70,Sp70,Sp70/Sbg70,Sconv70,Stot70,FWHMa70,FWHMb070,PA070,Signi160,Sp160,Sp160/Sbg160,Sconv160,Stot160,FWHMa160,FWHMb160,PA160,Signi250,Sp250,Sp250/Sbg250,Sconv250,Stot250,FWHMa250,FWHMb250,PA250,Signi350,Sp350,Sp350/Sbg350,Sconv350,Stot350,FWHMa350,FWHMb350,PA350,Signi500,Sp500,Sp500/Sbg500,Stot500,FWHMa500,FWHMb500,PA500,SigniNH2,NpH2,NpH2/NbgH2,NconvH2,NbgH2,FWHMaNH2,FWHMbNH2,PANH2,NSED,Region,Coretype
2.5,-0.025,1.178,-0.35,0.64,77.6,52.5,24.2,0.0,-0.0011,-0.006,-0.0011,0.14,13.5,13.5,6.7,7.8,0.15,0.478,0.37,1.2,54.1,39.3,122.4,7.5,0.16,0.437,0.23,0.66,53.1,39.5,100.2,7.8,0.16,0.461,0.27,50.4,36.3,115.7,8.1,5.7,0.3,0.1,19.87,59.0,34.3,105.5,3.0,Cepheus,1
0.3,-0.0039,-0.05,-0.043,0.31,61.0,27.0,74.0,25.7,0.42,0.25,1.8,3.6,39.1,42.0,32.0,12.0,0.87,0.33,1.8,4.0,38.0,32.0,28.0,39.0,0.77,0.29,1.0,1.9,39.0,30.0,43.0,31.8,0.51,0.2,0.67,45.0,36.0,42.0,43.8,2.21,0.34,1.1,6.5,39.0,24.0,34.0,4.0,Lupus,1
2.7,-0.0149,-0.26,-0.101,-0.00707,63.0,15.0,-26.0,0.0,0.029,0.03,0.171,0.689,66.0,52.0,101.0,0.0,0.107,0.07,0.23,0.432,62.0,26.0,115.0,7.2,0.278,0.17,0.359,0.639,53.0,25.0,112.0,8.7,0.26,0.17,0.314,50.0,36.0,114.0,15.6,1.0,0.25,0.6,4.0,48.0,24.0,112.0,3.0,Orion,1
1.7,-0.02,-0.38,-0.174,0.0375,60.0,20.0,117.0,0.0,0.102,0.14,0.492,1.13,57.0,34.0,30.0,6.3,0.184,0.22,0.304,0.498,41.0,20.0,35.0,6.5,0.192,0.22,0.234,0.354,42.0,25.0,29.0,6.7,0.203,0.27,0.261,38.0,38.0,-16.0,10.6,0.7,0.38,0.3,2.0,37.0,22.0,21.0,4.0,Orion,1
0.0,0.033,0.29,0.58,0.26,88.0,83.0,60.0,5.9,0.054,0.09,0.33,1.4,8.0,87.0,51.0,8.0,0.15,0.17,0.39,1.2,58.0,40.0,-4.0,8.9,0.13,0.16,0.22,0.69,72.0,43.0,-16.0,9.1,0.12,0.18,0.34,62.0,59.0,-64.0,7.6,0.18,0.12,0.1,1.6,82.0,33.0,-24.0,4.0,Lupus,1
0.0,0.015,0.02,0.00569,0.101,58.0,8.0,161.0,0.0,0.215,0.22,0.755,1.22,37.0,26.0,86.0,8.0,0.429,0.28,0.73,1.13,30.0,26.0,171.0,7.4,0.407,0.26,0.481,0.655,32.0,28.0,152.0,0.0,0.19,0.11,0.138,36.0,36.0,180.0,9.0,1.0,0.36,0.6,4.0,28.0,26.0,177.0,2.0,Aquilia,1
0.0,0.015,0.0,0.001,-0.015,0.0,0.0,0.0,0.0,0.0696,0.1,0.258,0.251,46.0,24.0,63.0,6.4,0.149,0.16,0.24,0.388,37.0,21.0,60.0,6.7,0.162,0.16,0.197,0.29,37.0,27.0,50.0,0.0,0.112,0.11,0.106,36.0,36.0,48.0,8.5,0.5,0.2,0.2,2.0,38.0,27.0,61.0,3.0,Orion,1
0.0,0.01,0.52,0.067,-0.071,31.0,20.0,-46.0,0.0,0.02,0.1,0.073,-0.17,8.2,37.0,27.0,-46.0,0.12,0.54,0.12,0.14,18.0,18.0,88.0,7.1,0.12,0.62,0.12,0.12,26.0,25.0,-74.0,6.8,0.1,0.65,0.1,39.0,36.0,-62.0,9.3,0.46,1.35,0.1,0.3,23.0,18.0,-61.0,3.0,Lupus,1
0.0,0.0042,0.972,0.05,0.045,51.5,41.5,68.5,0.0,0.023,0.121,0.099,0.2,43.5,40.7,22.6,12.0,0.15,0.298,0.2,0.32,32.4,20.5,9.4,10.1,0.14,0.228,0.15,0.2,36.8,24.9,14.1,9.8,0.14,0.238,0.17,45.4,36.3,23.5,10.6,9.2,0.3,0.1,30.16,25.3,19.0,23.3,3.0,Cepheus,1
31.2,0.0584,0.06,0.633,2.0,78.0,26.0,110.0,30.1,0.9,0.22,5.02,16.0,63.0,45.0,40.0,19.9,1.04,0.27,2.84,9.47,64.0,41.0,45.0,14.5,0.743,0.26,1.23,3.95,58.0,45.0,56.0,11.8,0.525,0.22,1.38,60.0,48.0,59.0,9.1,0.5,0.15,0.4,3.0,67.0,59.0,107.0,4.0,Orion,1
